bus_name,bus_rating,loc_latitude,loc_longitude
131 MAIN Restaurant,4,35.0341450000000023,-80.8089769999999987
La Autentica,4,35.0279543999999987,-80.8509686999999957
Da Vinci's Pizza,4,35.3346883999999974,-80.8135014000000069
The Pizza Peel,4,35.1766688000000016,-80.7978683000000046
Crafty Burg'r,3.5,35.4475669857,-80.9939551725999962
Chick-fil-A,3.5,35.0004130000000018,-80.6950530000000015
Uncle Maddio's Pizza Joint,3.5,35.2260368410000027,-80.843132512400004
Food Lion,3.5,35.1377801000000005,-80.7397124000000019
Dilworth Coffee,4,35.2031402,-80.8450181999999984
Starbucks,3.5,35.2248872999999989,-80.8433370000000053
Bobbee O's BBQ,3.5,35.349704899999999,-80.8420243000000056
Dairy Queen,3.5,35.3689924999999974,-80.7222306999999972
Five Guys,4,35.2065853000000004,-80.8609495999999979
Starbucks,4,35.103145452699998,-80.9862909314000063
Starbucks,3.5,35.3524799999999999,-80.8506260000000054
Chopt Creative Salad Co.,3.5,35.0351417158999965,-80.8077110078999965
Hardee's,3.5,35.2383425000000017,-81.1948584000000011
Rhino Market & Deli,4.5,35.2406984855999994,-80.8132621273000069
Pizza and Beyond,4,35.2470789999999994,-80.5771359999999959
Bisonte Pizza,3.5,35.0687554400999986,-80.7011622189999969
Dino's Family Restaurant,3.5,35.4181532656999991,-80.677413940400001
Chick-fil-A,4,35.2264278999999974,-80.8432784000000026
Crunch Bistro,4.5,35.0787683634000018,-80.8173394203000015
Starbucks,3.5,35.0586929999999981,-80.8132530000000031
Cantina 1511,3.5,35.0622558000000026,-80.8154480999999976
Pho Plus,3.5,35.2258250000000004,-80.8464950000000044
Uncle Maddio's Pizza Joint,4,35.4431372000000025,-80.8596397000000024
Waffle House,4,35.1713898,-80.9621956000000011
Taqueria La Unica,3.5,35.1434463358000002,-80.8761084017999963
Sushi Star,3.5,35.4086819999999989,-80.863047899999998
Cast Iron Waffles,3.5,35.1522668638000013,-80.8402774677000053
US Fried Chicken,3.5,35.2457970000000032,-80.8984569999999934
Mr Tokyo Japanese Restaurant,4,35.0884323423999973,-80.8599348945000003
Chick-fil-A,4,35.2049756999999985,-80.8385458000000057
Jet's Pizza,3.5,35.1709760000000031,-80.8493255000000062
Midwood Smokehouse,4,35.1748509000000027,-80.8473180000000013
131 MAIN Restaurant,4,35.4577917000000014,-80.8680906000000022
Hazelnuts Creperie,4.5,35.2261961087000017,-80.8448701835000065
Portofino's,3.5,35.0959649999999996,-80.7801780000000065
Caribou Coffee,3.5,35.1998166999999995,-80.8411983000000021
Little Big Burger,3.5,35.4761287999999979,-80.8899691999999959
Subway Restaurants,3.5,35.1903446000000031,-80.9285811999999964
Marco's Pizza,3.5,35.2899191309000031,-81.0174095296000019
Chicken King,4,35.1205039000000028,-80.9490780000000001
Inizio Pizza Napoletana,4.5,35.1990691999999967,-80.8525254000000047
Brooklyn's Pizzeria,3.5,35.3706450999999973,-80.5481190999999939
East Coast Wings & Grill,3.5,35.3159787685000026,-80.6739369791999934
Shane's Rib Shack,3.5,35.4158453000000009,-80.6767418000000021
Cast Iron Waffles,4,35.4427206000000012,-80.8857950999999957
Quiznos,4,35.0386030000000019,-80.794067499999997
Caribou Coffee,3.5,35.1246343999999979,-80.7082398999999953
Dilworth Coffee,4,35.3721590000000035,-80.7824849999999941
Grandma's Country Kitchen,3.5,35.3733007000000015,-80.6087323999999938
Bistro La Bon,4,35.2205897999999991,-80.8157716999999991
Arby's,4,35.0038494,-80.5561929999999933
Chick-fil-A,3.5,35.4197729999999993,-80.675159199999996
Zoes Kitchen,3.5,35.3363145137000032,-80.7555362945000041
Great Harvest Bread,4,35.0785379000000006,-80.8183578000000011
Ruth's Chris Steak House,4,35.2261809999999969,-80.8451740999999942
Chick-fil-A,3.5,35.0524851366999997,-80.7687394093999984
Chicken King,5,35.2411389709000034,-80.8582929531000048
OneWay Smokehouse & Grill,4,35.2195330999999996,-80.8355365000000035
Quiznos,4,35.2190493000000018,-80.8351693999999981
B.GOOD,3.5,35.0540769999999995,-80.8515359999999959
Duckworth's Grill & Taphouse,4,35.0560059000000024,-80.8528368999999998
Texas Roadhouse,3.5,35.3689559999999972,-80.7118729999999971
Viva Chicken,4.5,35.3752253999999979,-80.7299224000000066
Starbucks,3.5,35.4431999999999974,-80.861725000000007
Chick-fil-A,4,35.0597379000000018,-80.813486999999995
Long Creek Fish Fry,4,35.3044133000000002,-81.1581376000000034
Cluck N Cup,3.5,35.2194519000000028,-80.8356950000000012
Plato Pronto,3.5,35.4322252999999989,-80.6060078999999945
Papa Murphy's,4,35.035595200000003,-80.8044730999999956
The Smoke Pit,4.5,35.2647296908999976,-81.1362822354000031
La Autentica,3.5,35.2216678545999997,-80.8191813524999958
Bojangles' Famous Chicken 'n Biscuits,3.5,35.224533000000001,-80.841029000000006
Jersey Mike's Subs,3.5,35.2595968999999982,-81.1127862000000022
Greco Fresh Grille,4.5,35.0830328999999992,-80.7287610000000058
Pita Pit,4,35.2274870000000035,-80.8402449999999959
Subway Restaurants,3.5,35.2752593000000019,-81.1345170000000024
Five Guys,4,35.0346644999999981,-80.8057249999999954
Papa's Pizza To Go,4,35.0234263999999982,-80.7608761000000044
Just Fresh,3.5,35.1035571000000033,-80.9854864999999933
Jersey Mike's Subs,4,35.2268626700000027,-80.8438490700000045
Greco Fresh Grille,4.5,35.0346741999999978,-80.8057249999999954
Jet's Pizza,3.5,35.341075873900003,-80.764624734700007
Fortune Cookie,4,35.2159750000000003,-80.8284280000000024
McAlister's Deli,3.5,35.1292150000000021,-80.7030589999999961
Little Caesars Pizza,3.5,35.4105899999999991,-80.8533649999999966
McAlister's Deli,3.5,35.2637849999999986,-81.1340299999999957
Food Lion,4.5,35.4108030000000014,-80.6669377000000054
Rhino Market & Deli,4.5,35.2297195888999966,-80.865914178500006
K & W Cafeteria,3.5,35.1612012000000007,-80.739032899999998
Hickory Tavern,3.5,35.2128289999999993,-80.8358970000000028
Wolfman Pizza,4,35.066082349600002,-80.7726104850000013
Nana's Soul Food Kitchen,3.5,35.0709261000000012,-80.6848317999999978
Showmars - Charlotte,4,35.0665205999999969,-80.7710806999999988
Jimmy John's,3.5,35.3731460999999996,-80.722243000000006
Jimmy John's,3.5,35.4427335000000028,-80.8857543000000021
Asian Garden,4,35.2490132160000016,-81.0806029917000046
McAlister's Deli,3.5,35.0398351999999988,-80.8466382999999951
City Barbeque,4,35.3103809999999996,-80.7467769999999945
Don Pedro Mexican Restaurant,3.5,35.1358576315999969,-80.9373579922999937
Picasso's Sports Cafe,4,35.3037392000000025,-80.7493302999999969
Subway Restaurants,4.5,34.9386812999999989,-80.7508014999999943
Firenza Pizza,3.5,35.2907049000000015,-80.7655239999999992
Persis Biryani Indian Grill,4,35.3424757000000014,-80.7706758000000065
Cracker Barrel Old Country Store,3.5,35.2397877000000008,-80.9181382000000013
Teriyaki Madness,3.5,35.2123518000000004,-80.8358724999999936
Famous Toastery,4,35.4992007000000029,-80.8487850000000066
Food Lion,5,35.3524665999999996,-81.089620999999994
Shake Shake Seafood,4,35.0867843999999991,-80.881059300000004
Pinky's Westside Grill,4,35.4058290892999992,-80.8654024254999939
Starbucks,4,35.1530699999999996,-80.8253550000000018
Los Paisas,4.5,35.0901589999999999,-80.8588110000000029
Grandma's Country Kitchen,4.5,35.2784410000000008,-80.7665819999999997
Da Vinci's Pizza,4,35.2965774536000012,-80.7570037841999948
Jersey Mike's Subs,3.5,35.0822330000000022,-80.7324449999999985
Sushi Star,3.5,35.1355696999999978,-80.7381148999999994
Marco's Pizza,3.5,35.3838420000000013,-80.7861400000000032
Chicken Salad Chick,4,35.0864979999999989,-80.8482168999999971
Taqueria La Unica,4.5,35.0678367000000009,-80.6775554000000028
Papa's Pizza To Go,4.5,35.3155715999999984,-81.1756405999999942
Uncle Maddio's Pizza Joint,3.5,35.2118790000000033,-80.8338107000000008
Chicken King,4,35.2239833000000004,-80.7259243000000026
Food Lion,3.5,35.1995933999999977,-80.8532588000000061
Mr Tokyo Japanese Restaurant,4,35.1267159970999998,-80.7081497087999935
Cook Out,3.5,35.367564299999998,-80.7111718000000025
Lennys Subs,3.5,35.1466220184000022,-80.926906797800001
Honey Baked Ham Company,3.5,35.0861689999999982,-80.8498739999999998
Steak 'n Hoagie Shop,3.5,35.1952515999999989,-80.7655105999999989
Tijuana Flats,4,35.3749899000000028,-80.7288042999999931
OneWay Smokehouse & Grill,4,35.263083199999997,-80.855599600000005
Viva Chicken,4,35.0510719999999978,-80.6460016000000053
Five Guys,3.5,35.1045640000000034,-80.9886400000000037
Pasta & Provisions,4.5,35.1864682000000002,-80.8220131000000066
Jet's Pizza,3.5,35.4080427765999985,-80.8630929055999985
Hungry Howie's Pizza,3.5,35.0880379999999974,-80.860588000000007
Salsarita's Fresh Mexican Grill,3.5,35.2264848000000015,-80.8427063999999973
El Vallarta,4,35.084896999999998,-80.8876850000000047
Portofino's,4,35.1605567000000008,-80.8501038999999935
Just Fresh,4.5,35.2283620999999982,-80.842778899999999
Cracker Barrel Old Country Store,3.5,35.3659835999999999,-80.7128222999999991
Firehouse Subs,3.5,35.1051877363999978,-80.9871398200999977
Fresh Chef Kitchen,4.5,35.4848300000000023,-80.8781266000000016
Which Wich,3.5,35.1209720000000019,-80.7208270999999939
Chick-fil-A,3.5,35.0988589999999974,-80.7813029
MOD Pizza,4,35.1258243999999991,-80.7074147999999951
La Unica,4,35.327060000000003,-80.6480729999999966
Caribou Coffee,4,35.1469610999999986,-80.8090997000000044
Fresh Off The Grill,4,35.4112110000000015,-80.6675240000000002
Brixx Wood Fired Pizza,3.5,35.0345615136999982,-80.8058675581000045
Pasta & Provisions,4.5,35.1669821999999996,-80.8508652999999953
Food Lion,3.5,35.0825770000000006,-80.8857430000000051
Chicken King,4,35.295995099999999,-80.7976771000000014
La Frontera,4,35.1280789999999996,-80.9385379999999941
Jimmy John's,4,35.2619304999999983,-81.1422507999999993
Starbucks,3.5,35.2204057900000009,-80.9446596100000022
Waffle House,3.5,35.2399144995000029,-80.9201385925999972
Fresh Off The Grill,3.5,35.4185518624000011,-80.7452138916000024
Starbucks,4.5,35.3124139999999969,-80.7727419999999938
Mr Tokyo Japanese Restaurant,4,35.3733629999999977,-80.7882950000000051
Tryon House Restaurant,4,35.1797346999999974,-80.8806270999999981
Matt's Chicago Dog,4,35.4819013369000018,-80.8818800811999949
US Fried Chicken,3.5,35.300651000000002,-80.8022050000000007
Noodles & Company,4,35.2066889999999972,-80.8609239999999971
Chick-fil-A,4,35.3268580000000014,-80.9447591999999929
Jason's Deli,4,35.225275400000001,-80.8420267999999993
Bedder Bedder & Moore,4,35.1954269347000022,-80.8769528568000027
Steak 'n Hoagie Shop,4.5,35.0854467999999997,-80.6969670999999948
Famous Toastery,3.5,35.2526273000000003,-81.0454055999999952
Bistro La Bon,4.5,35.1762080000000026,-80.802544999999995
Tandur Indian Kitchen,4,35.052910599999997,-80.7740782000000053
Coaltrane's Char Grill,4.5,35.2201724999999968,-80.812624299999996
Nothing But Noodles,4,35.2137439999999984,-80.826252199999999
Jersey Mike's Subs,3.5,35.3464680000000016,-80.8525889999999947
Yoshi's Grill,3.5,35.4060418163999984,-80.8646890310999993
Chopt Creative Salad Co.,3.5,35.098066799999998,-80.7802264000000037
Domino's,4,35.3187898999999987,-81.1896488000000005
Shane's Rib Shack,4,35.2600588844000029,-81.1151456663999966
Dilworth Coffee,3.5,35.4582730999999995,-80.8678917999999953
Jersey Mike's Subs,4,35.1902479999999969,-80.9223199999999991
Subway Restaurants,5,35.3238619999999983,-80.6478007000000048
Caribbean Hut,4,35.1802279046999971,-80.884367514600001
Chicken King,4,35.2332277000000005,-80.8077150999999958
Lennys Subs,3.5,35.3349023987999971,-80.812967759299994
Starbucks,4.5,35.4773909999999972,-80.8940900000000056
Bedder Bedder & Moore,3.5,35.1954265999999976,-80.876952799999998
Food Lion,4,35.0681233000000034,-80.6762987000000038
